,Gene,Sample,NormalizedCount,Subject.ID,Profile,origID,SULB,GATC.D3,Sex,IVSA,Reads,Reads.after.trim,Mapped.in.pairs,Mapped.to.total.rRNA
1346962,Itpka,ZR3BQ266,15.439770783177,β-D3-31R,NAc,462,50 mg/Kg,0 MG/KG,M,F,52560644,17130142,0.7328,0.0472
1346963,Itpka,ZR62PH68,26.4522793649146,β-D3-32N,NAc,463,50 mg/Kg,25 MG/KG,M,F,52885758,32688844,0.7656,0.0258
1346964,Itpka,ZR4Q7E62,41.679976331588,β-D3-33R,NAc,464,50 mg/Kg,40 MG/KG,M,F,78390636,60136698,0.8219,0.0488
1346965,Itpka,ZR63XF83,28.8883337598405,β-D3-35R,NAc,465,,F-O,M,F,32217724,25145918,0.8002,0.0289
1346966,Itpka,ZR73XY77,22.0922784261936,β-D3-36N,NAc,466,,SALINE,M,S,30576576,24573482,0.7988,0.0202
1346967,Itpka,ZRV622V4,38.7455436736504,β-D3-73R,NAc,467,50 mg/Kg,0 MG/KG,M,F,22075670,16108106,0.7839,0.0845
1346968,Itpka,ZRF6A343,37.8040448266879,β-D3-74N,NAc,468,50 mg/Kg,25 MG/KG,M,F,32415566,26446654,0.8149,0.0362
1346969,Itpka,ZR6A8837,68.747566239542,β-D3-75R,NAc,469,50 mg/Kg,40 MG/KG,M,F,27083810,11278624,0.4013,0.0285
1346970,Itpka,ZR42RF66,39.1259090541937,β-D3-76N,NAc,470,50 mg/Kg,70 MG/KG,M,F,24283962,19641778,0.687,0.0243
1346971,Itpka,ZR27U63Q,41.4436950249731,β-D3-77R,NAc,471,,F-O,M,F,24398114,19307252,0.7959,0.0283
1346972,Itpka,ZRR624J8,34.8286290388395,β-D3-78N,NAc,472,,SALINE,M,F,39449294,11265232,0.8276,0.0289
1346973,Itpka,ZR244637,38.533427241752,β-D3-79R,NAc,473,,40 MG/KG w/o SULB,M,F,31005276,20743042,0.779,0.0457
1346974,Itpka,ZR74VR82,32.2215763396387,β-D3-80N,NAc,474,,40 MG/KG w/o SULB,M,F,29772794,13762358,0.7461,0.0072
1346975,Itpka,ZR84FA36,52.8671536545043,β-D3-81R,NAc,475,,40 MG/KG w/o SULB,M,F,22671594,18593076,0.6956,0.0073
1346976,Itpka,ZR4J42E3,62.5901350623828,β-D3-82N,NAc,476,,40 MG/KG w/o SULB,M,F,35106770,21603194,0.6837,0.0123
1346977,Itpka,ZRT282R2,117.379943335897,β-D3-83R,NAc,477,,40 MG/KG w/o SULB,M,F,42302266,754690,0.0382,0.0511
1346978,Itpka,ZR2883Y7,67.298674689998,β-D3-84N,NAc,478,,40 MG/KG w/o SULB,M,F,33497338,905724,0.1935,0.0546
1346979,Itpka,ZRXH8338,0.0,β-D3-91N,NAc,479,50 mg/Kg,70 MG/KG,M,F,13974566,644704,0.1141,0.0273
1346980,Itpka,ZR86JB86,0.0,α-D3-37R,NAc,480,50 mg/Kg,0 MG/KG,F,F,47119796,6479394,0.0198,0.0669
1346981,Itpka,ZR2UW277,12.0042229101446,α-D3-38N,NAc,481,50 mg/Kg,25 MG/KG,F,F,36446866,3975982,0.3895,0.1655
1346982,Itpka,ZR6VY824,0.0,α-D3-39R,NAc,482,50 mg/Kg,40 MG/KG,F,F,43732724,740410,0.0259,0.0319
1346983,Itpka,ZRHA7628,0.0,α-D3-40N,NAc,483,50 mg/Kg,70 MG/KG,F,F,58902310,1018444,0.0707,0.0649
1346984,Itpka,ZR377Q36,24.9236978333113,α-D3-41R,NAc,484,,F-O,F,F,43702086,1741418,0.1683,0.0603
1346985,Itpka,ZRL7767G,42.827425249992,α-D3-42N,NAc,485,,SALINE,F,S,39011364,19281632,0.5746,0.2078
1346986,Itpka,ZRG3A844,99.1265957242327,α-D3-43R,NAc,486,50 mg/Kg,0 MG/KG,F,F,10275362,5617992,0.4424,0.1321
1346987,Itpka,ZR8GB247,42.6052672412524,α-D3-44N,NAc,487,50 mg/Kg,25 MG/KG,F,F,22742076,5888418,0.4505,0.0271
1346988,Itpka,ZRPP4833,30.3028067269297,α-D3-45R,NAc,488,50 mg/Kg,40 MG/KG,F,F,22268864,10099710,0.582,0.0245
1346989,Itpka,ZR7P8B72,28.9716729127946,α-D3-47R,NAc,490,,F-O,F,F,15912990,12094460,0.7916,0.2624
1346990,Itpka,ZRH4447D,29.5306011018936,α-D3-48N,NAc,491,,SALINE,F,S,11133954,8163328,0.7857,0.3119
1346991,Itpka,ZR37KV38,38.897894421729,α-D3-49R,NAc,492,50 mg/Kg,0 MG/KG,F,F,36107668,16287176,0.7037,0.2927
1346992,Itpka,ZR6TX287,0.0,α-D3-50N,NAc,493,50 mg/Kg,25 MG/KG,F,F,11367798,3873272,0.3864,0.1055
1346993,Itpka,ZRN82G23,0.0,α-D3-51R,NAc,494,50 mg/Kg,40 MG/KG,F,F,28521968,1495682,0.1609,0.0154
1346994,Itpka,ZR234434,34.309121627925,α-D3-52N,NAc,495,50 mg/Kg,70 MG/KG,F,F,13093332,2769616,0.3739,0.0225
1346995,Itpka,ZRPN7323,46.9637104349164,α-D3-53R,NAc,496,,F-O,F,F,33975394,15004810,0.5525,0.0225
1346996,Itpka,ZRUC6684,25.3916527637743,α-D3-54N,NAc,497,,SALINE,F,S,25539200,6087796,0.566,0.0606
1346997,Itpka,ZR3F28X4,0.0,α-D3-55R,NAc,498,50 mg/Kg,0 MG/KG,F,F,13415364,373570,0.0225,0.129
1346998,Itpka,ZR84H3P3,0.0,α-D3-56N,NAc,499,50 mg/Kg,25 MG/KG,F,F,42621132,559020,0.0362,0.0561
1346999,Itpka,ZRM32M74,0.0,α-D3-57R,NAc,500,50 mg/Kg,40 MG/KG,F,F,55914620,1478670,0.0254,0.0611
1347000,Itpka,ZRDF2322,0.0,α-D3-58N,NAc,501,50 mg/Kg,70 MG/KG,F,F,61037192,1220002,0.0097,0.0837
1347001,Itpka,ZR8JB724,0.0,α-D3-59R,NAc,502,,F-O,F,F,39607526,954092,0.0181,0.0851
1347002,Itpka,ZRK66V38,0.0,α-D3-60N,NAc,503,,SALINE,F,S,33003152,960088,0.0151,0.0995
1347003,Itpka,ZRFE4627,23.3789816946834,α-D3-61R,NAc,504,50 mg/Kg,0 MG/KG,F,F,105864256,76926398,0.779,0.0279
1347004,Itpka,ZR8PT848,39.052001494596,α-D3-62N,NAc,505,50 mg/Kg,25 MG/KG,F,F,114196196,74739440,0.7051,0.0334
1347005,Itpka,ZR46G84P,27.27552169256,α-D3-63R,NAc,506,50 mg/Kg,40 MG/KG,F,F,84252684,60663108,0.7591,0.0336
1347006,Itpka,ZR44LQ82,20.7573541772347,α-D3-64N,NAc,507,50 mg/Kg,70 MG/KG,F,F,83076268,55762776,0.7543,0.0283
1347007,Itpka,ZRF2T664,26.0097541054917,α-D3-65R,NAc,508,,F-O,F,F,145668368,89820068,0.7079,0.0237
1347008,Itpka,ZRRJ6232,23.8896799154737,α-D3-66N,NAc,509,,SALINE,F,S,147918270,110563336,0.789,0.0417
1347009,Itpka,ZR2R67M3,41.6734233570162,α-D3-67R,NAc,510,50 mg/Kg,0 MG/KG,F,F,146251852,51408586,0.7548,0.0377
1347010,Itpka,ZR34T6Q2,30.1579116635741,α-D3-68N,NAc,511,50 mg/Kg,25 MG/KG,F,F,114008686,61533110,0.8218,0.0309
1347011,Itpka,ZRBA8687,21.1902715154932,α-D3-69R,NAc,512,50 mg/Kg,40 MG/KG,F,F,130415548,59879270,0.7646,0.0349
1347012,Itpka,ZRMT3467,36.134374843224,α-D3-70N,NAc,513,50 mg/Kg,70 MG/KG,F,F,107055628,76792190,0.7777,0.0346
1347013,Itpka,ZRN82G88,19.3910194140785,α-D3-71R,NAc,514,,F-O,F,F,96276166,75788444,0.7679,0.0386
1347014,Itpka,ZR76H4G8,28.8842502437778,α-D3-72N,NAc,515,,SALINE,F,S,96751664,73478896,0.7826,0.0315
1347015,Itpka,ZR623PU7,31.0394847794072,α-D3-85R,NAc,516,,40 MG/KG w/o SULB,F,F,109838064,75420582,0.7861,0.0367
1347016,Itpka,ZR3JL628,27.0173954773871,α-D3-86N,NAc,517,,40 MG/KG w/o SULB,F,F,142681934,84985532,0.7954,0.045
1347017,Itpka,ZR2T32G8,27.7307232915753,α-D3-87R,NAc,518,,40 MG/KG w/o SULB,F,F,81550922,64772374,0.8175,0.0364
